あきされは いもにみせむと うゑしはき つゆしもおきて ちりにけらしも
あきされは おくつゆしもに あへすして みやこのやまは いろつきぬらむ
あきされは やまのをのへに こゑたてて しかもゆふへは ものやかなしき
あきしのや とやまのさとや しくるらむ いこまのたけに くものかかれる
あきそかし いかにあはれの とはかりに やすくもおける そてのつゆかな
あきたもる かりいほつくり わかをれは ころもてさむし つゆそおきける
あきたもる しつかかりほの いなむしろ いなてふよはそ とこはつゆけき
あきちかう のはなりにけり しらつゆの おけるくさはも いろかはりゆく
あきちかき けしきのもりに なくせみの なみたのつゆや したはそむらむ
あきちかき しつかかきねの くさむらに なにともしらぬ むしのこゑこゑ
あきちかき ひかりをみせて なつくさの つゆによかれす ゆくほたるかな
あきちかき をののしのはら おくつゆの あまりてよそに とふほたるかな
あきちかみ なつはてゆけは ほとときす なくこゑかたき ここちこそすれ
あきつはの すかたのくにに あとたれし かみのまもりや わかきみのため
あきなから かけこそこほれ ふしのねの ゆきにうつろふ よなよなのつき
あきならて おくしらつゆは ねさめする わかたまくらの しつくなりけり
あきなれは はきののもせに おくつゆの ひるまにさへも こひしきやなそ
あきにこそ またなりぬれと おもふより こころにはやく そふあはれかな
あきになり かせのすすしく かはるにも なみたのつゆそ しのにちりける
あきにまた あはむあはしも しらぬみは こよひはかりの つきをたにみむ
あきのあめ よひのむらくも あときえて はらふあらしに のこるつきかな
あきのきて けふみかつきの くもまより こころつくしの かけそほのめく
あきのくる けしきのもりの したかせに たちそふものは あはれなりけり
あきのたに なみよるいねは やまかはの みつひきうゑし さなへなりけり
あきのたの いねてふことも かけなくに なにをうしとか ひとのかるらむ
あきのたの おしねいろつく いまよりや ねられぬいほの よさむなるらむ
あきのたの かりねのとこの いなむしろ つきやとれとも しけるつゆかな
あきのたの かりほのまはき さきしより なほいほちかく しかそなくなる
あきのたの つゆしくとこの いなむしろ つきのやととも もるいほりかな
あきのたの ほむけかたより ふくかせに やまもとみえて はるるゆふきり
あきのたの わさほのかつら つゆかけて むすふちきりは かりにたになし
あきのつき かけのとかにも みゆるかな こやなかきよの ためしなるらむ
あきのつき こたへはいかに かたらまし こころにうかふ よよのあはれを
あきのつき たかねのくもの あなたにて はれゆくそらの くるるまちけり
あきのつき なかめすとても みにつもる わかおいらくの かけやしられむ
あきのつき なみのそこにそ いてにける まつらむやまの かひやなからむ
あきのつき またもあひみむ わかこころ つくしなはてそ さらしなのやま
あきのつき もちはひとよの へたてにて かつかつかけそ のこるくまなき
あきのつき やまへさやかに てらせるは おつるもみちの かすをみよとか
あきののに あさきりかくれ なくしかの ほのかにのみや ききわたりなむ
あきののに いかなるつゆの おきつめは ちちのくさはの いろかはるらむ
あきののに おくしらつゆの きえさらは たまにぬきても かけてみてまし
あきののに おくしらつゆを けさみれは たまやしけると おとろかれつつ
あきののに きやとるひとも おもほえす たれをまつむし ここらなくらむ
あきののに たれをさそはむ ゆきかへり ひとりははきを みるかひもなし
あきののに なまめきたてる をみなへし あなかしかまし はなもひととき
あきののに ひとまつむしの こゑすなり われかとゆきて いさとふらはむ
あきののに やとりはすへし をみなへし なをむつましみ たひならなくに
あきののに よるもやねなむ をみなへし はなのなをのみ おもひかけつつ
あきののの くさはおしなひ おくつゆに ぬれてやひとの たつねゆくらむ
あきののの くさむらことに おくつゆは よるなくむしの なみたなるへし
あきののの つゆにおかるる をみなへし はらふひとなみ ぬれつつやふる
あきののの はなのいろいろ とりすゑて わかころもてに うつしてしかな
あきののの はなのなたてに をみなへし かりにのみくる ひとにをらるな
あきののの はなわけころも みやこまて いろはやつさし みむひとのため
あきののの をはなにましり さくはなの いろにやこひむ あふよしをなみ
あきののは こころもしのに みたれつつ こけのそてにも はなやうつらむ
あきののは をるへきはなも なかりけり こほれてきえむ つゆのをしさに
あきののを わけゆくつゆに うつりつつ わかころもては はなのかそする
あきのひの やまのはとほく なるままに ふもとのまつの かけそすくなき
あきのゆく のやまのあさち うらかれて みねにわかるる くもそしくるる
あきのよに あめときこえて ふりつるは かせにみたるる もみちなりけり
あきのよに ひとをみまくの ほしけれは あまのかはらを たちならすかな
あきのよの あかつきかたの つきみれは をはすてやまそ おもひやらるる
あきのよの あくるもしらす なくむしは わかことものや かなしかるらむ
あきのよの あまてるつきの ひかりには おくしらつゆを たまとこそみれ
